time,position_x,position_y,orientation_x,orientation_y,orientation_z,orientation_w,speed_x,speed_y,angular_z
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0,0,0
1.62766E+18,-11,11,0,0,0,1,0.020125151,0,0
1.62766E+18,-10.9996006,11,0,0,-2.66E-07,1,0.039971114,0,-2.68E-05
1.62766E+18,-10.9987995,11,0,0,-1.31E-06,1,0.060013056,0,-0.000104535
1.62766E+18,-10.99760476,11,0,0,-3.64E-06,1,0.079921007,0,-0.000233297
1.62766E+18,-10.99600419,10.99999998,0,0,-7.74E-06,1,0.09994793,0,-0.00040966
1.62766E+18,-10.99400642,10.99999995,0,0,-1.41E-05,1,0.11993599,0,-0.00063435
1.62766E+18,-10.99160831,10.99999989,0,0,-2.31E-05,1,0.139930964,0,-0.000898407
1.62766E+18,-10.98880295,10.99999976,0,0,-3.51E-05,0.999999999,0.159979106,0,-0.001205114
1.62766E+18,-10.98561584,10.99999953,0,0,-5.06E-05,0.999999999,0.179901124,0,-0.001554074
1.62766E+18,-10.98202216,10.99999917,0,0,-7.00E-05,0.999999998,0.199877024,0,-0.00194067
1.62766E+18,-10.978026,10.99999861,0,0,-9.37E-05,0.999999996,0.219870091,0,-0.002366972
1.62766E+18,-10.97362441,10.99999779,0,0,-0.000122349,0.999999993,0.239889145,0,-0.002865787
1.62766E+18,-10.9688379,10.99999661,0,0,-0.000156342,0.999999988,0.259842157,0,-0.003407299
1.62766E+18,-10.96361641,10.99999498,0,0,-0.000196407,0.999999981,0.279937029,0,-0.003987582
1.62766E+18,-10.95804737,10.99999279,0,0,-0.000242279,0.999999971,0.299830914,0,-0.00461167
1.62766E+18,-10.95205226,10.99998989,0,0,-0.000294941,0.999999957,0.319825889,0,-0.005267465
1.62766E+18,-10.94565606,10.99998612,0,0,-0.000354167,0.999999937,0.339824916,0,-0.005922913
